login_success,failed_attempts,session_duration,hour,device_Android,device_Linux,device_MacOS,device_Windows,device_iOS,ip_1,ip_2,ip_3,ip_4,label,predicted_label,anomaly_score,risk_score
1.0,0.0,0.0293107150526089,0.6956521739130435,False,False,False,True,False,0.9430051813471504,0.8442211055276382,0.0316205533596837,0.9763779527559056,0,0,0.020394106201573503,77.67
1.0,0.0,0.0468112518788919,0.3478260869565217,False,False,True,False,False,0.9430051813471504,0.8442211055276382,0.0158102766798418,0.7125984251968503,0,0,0.0850726654689204,96.67
1.0,0.0,0.0910457375993128,0.7826086956521738,False,False,False,True,False,0.9430051813471504,0.8442211055276382,0.0,0.2401574803149606,0,0,0.06622260556298742,91.13
1.0,0.0,0.128516212153747,0.8695652173913043,True,False,False,False,False,0.9430051813471504,0.8442211055276382,0.0395256916996047,0.6023622047244095,0,0,0.05498039916391401,87.83
1.0,0.0,0.008481855271634,0.9565217391304348,True,False,False,False,False,0.9430051813471504,0.8442211055276382,0.0079051383399209,0.6811023622047244,0,0,0.040419538341762706,83.55
1.0,0.0,0.1027485505690358,0.3913043478260869,True,False,False,False,False,0.9430051813471504,0.8442211055276382,0.0276679841897233,0.1535433070866141,0,0,0.07096850385044934,92.52
1.0,0.0,0.1587932145157826,0.9130434782608696,False,True,False,False,False,0.9430051813471504,0.8442211055276382,0.0158102766798418,0.5118110236220472,0,0,0.058944218473694354,88.99
1.0,0.0,0.0193257461885333,0.8695652173913043,False,False,False,True,False,0.9430051813471504,0.8442211055276382,0.0237154150197628,0.4488188976377952,0,0,0.05454271027423907,87.7
1.0,0.0,0.0702168778183379,0.6086956521739131,False,True,False,False,False,0.9430051813471504,0.8442211055276382,0.0237154150197628,0.2992125984251969,0,0,0.07795097310882443,94.57
1.0,0.0,0.1913248872664805,0.8695652173913043,False,True,False,False,False,0.9430051813471504,0.8442211055276382,0.0276679841897233,0.0708661417322834,0,0,0.03189737429748801,81.05
1.0,0.0,0.1881039295683916,1.0,False,False,False,True,False,0.9430051813471504,0.8442211055276382,0.0039525691699604,0.5787401574803149,0,0,0.027146825826510845,79.65
1.0,0.0,0.0771956194975306,0.7391304347826086,False,True,False,False,False,0.9430051813471504,0.8442211055276382,0.0237154150197628,0.2834645669291338,0,0,0.07891501484920954,94.86
1.0,0.0,0.1308782477990122,0.1304347826086956,False,False,True,False,False,0.9430051813471504,0.8442211055276382,0.0197628458498023,0.3425196850393701,0,0,0.07368456172637766,93.32
1.0,0.0,0.0638823276787631,0.9565217391304348,False,False,False,False,True,0.9430051813471504,0.8442211055276382,0.0079051383399209,0.8110236220472441,0,0,0.05732947322408222,88.52
1.0,0.0,0.1213227399613485,0.1304347826086956,False,False,True,False,False,0.9430051813471504,0.8442211055276382,0.0079051383399209,0.4251968503937008,0,0,0.07087080732325507,92.49
1.0,0.0,0.1645909383723427,1.0,True,False,False,False,False,0.9430051813471504,0.8442211055276382,0.0197628458498023,0.84251968503937,0,0,0.037100499784538554,82.58
1.0,0.0,0.140111659866867,0.3913043478260869,False,True,False,False,False,0.9430051813471504,0.8442211055276382,0.0316205533596837,0.8818897637795275,0,0,0.04901941777763685,86.08
1.0,0.0,0.035001073652566,0.4782608695652174,False,False,True,False,False,0.9430051813471504,0.8442211055276382,0.0,0.9803149606299212,0,0,0.040038906094204074,83.44
1.0,0.0,0.1271204638179085,0.6521739130434783,False,False,False,True,False,0.9430051813471504,0.8442211055276382,0.0197628458498023,0.8346456692913385,0,0,0.06870547930712867,91.86
1.0,0.0,0.0159974232338415,0.0,False,False,False,False,True,0.9430051813471504,0.8442211055276382,0.0395256916996047,0.6299212598425197,0,0,0.02024464777219742,77.62
1.0,0.0,0.0132059265621644,1.0,False,True,False,False,False,0.9430051813471504,0.8442211055276382,0.0237154150197628,0.8976377952755905,0,0,0.014580732294709464,75.96
1.0,0.0,0.0619497530599098,0.6521739130434783,False,False,False,True,False,0.9430051813471504,0.8442211055276382,0.0039525691699604,0.6417322834645669,0,0,0.07499694677026064,93.71
1.0,0.0,0.1318445351084389,0.3043478260869565,False,False,False,False,True,0.9430051813471504,0.8442211055276382,0.0276679841897233,0.2204724409448819,0,0,0.07898265748381733,94.88
1.0,0.0,0.1554648915610908,0.5217391304347826,False,False,False,True,False,0.9430051813471504,0.8442211055276382,0.0158102766798418,0.4094488188976378,0,0,0.08288112102444245,96.02
1.0,0.0,0.040691432252523,0.3913043478260869,False,True,False,False,False,0.9430051813471504,0.8442211055276382,0.0316205533596837,0.2047244094488189,0,0,0.06355180681956019,90.35
1.0,0.0,0.1124114236633025,0.6521739130434783,False,False,False,True,False,0.9430051813471504,0.8442211055276382,0.0395256916996047,0.5,0,0,0.07141881494287916,92.66
1.0,0.0,0.052608975735452,0.3478260869565217,True,False,False,False,False,0.9430051813471504,0.8442211055276382,0.0,0.1102362204724409,0,0,0.040543155891900995,83.59
1.0,0.0,0.0897573545200773,0.2608695652173913,False,False,False,True,False,0.9430051813471504,0.8442211055276382,0.0316205533596837,0.6574803149606299,0,0,0.07872660071233473,94.8
1.0,0.0,0.116813399184024,0.4782608695652174,False,False,False,False,True,0.9430051813471504,0.8442211055276382,0.0197628458498023,0.7401574803149606,0,0,0.09213218074983948,98.74
1.0,0.0,0.1471977668026626,0.2608695652173913,False,False,False,True,False,0.9430051813471504,0.8442211055276382,0.0079051383399209,0.0196850393700787,0,0,0.037622825632770696,82.73
1.0,0.0,0.0767661584711187,0.217391304347826,False,True,False,False,False,0.9430051813471504,0.8442211055276382,0.0158102766798418,0.1535433070866141,0,0,0.06366852737244905,90.38
1.0,0.0,0.181125187889199,0.3043478260869565,False,False,False,False,True,0.9430051813471504,0.8442211055276382,0.0197628458498023,0.5118110236220472,0,0,0.06720427521500227,91.42
1.0,0.0,0.0251234700450934,0.0,False,False,True,False,False,0.9430051813471504,0.8442211055276382,0.0355731225296442,0.1732283464566929,0,0,0.030731435400802753,80.7
1.0,0.0,0.1105862143010521,0.4347826086956521,False,False,False,True,False,0.9430051813471504,0.8442211055276382,0.0,0.0196850393700787,0,0,0.039732308377768755,83.35
1.0,0.0,0.1540691432252523,0.0869565217391304,False,False,False,False,True,0.9430051813471504,0.8442211055276382,0.0197628458498023,0.1181102362204724,0,0,0.042265507010896375,84.09
